question,answer,difficulty
"A woman in her early 40s, gravida 3, para 3, with a history of migraines and recurrent preeclampsia and who was 11 weeks post partum presented with acute pleuritic chest pain, shortness of breath, and nausea that started several hours after a flight from Florida to New York City. She was noted to have tachycardia (110 beats/min) and hypoxemia (90% receiving room air) with a blood pressure of 106/81 mm Hg. Cardiac, respiratory, and pulse examination results were unremarkable. She denied any clear physical or emotional triggers preceding presentation. Before presentation, the patient reported good health with satisfactory employment-mandated routine physical examinations. She denied a history of smoking, alcohol, or illicit drug use. She was not taking hormonal birth control or hormone therapy. Laboratory values demonstrated a normal complete blood cell count and metabolic panel. Chest radiograph results were unremarkable. A computed tomographic chest scan excluded pulmonary embolism but suggested pulmonary and interstitial edema. Results of an electrocardiogram revealed sinus tachycardia with premature ventricular contractions, subcentimeter ST-segment elevation in leads I and aVL and 1-mm ST-segment depression in leads II, III, aVF, and V5through V6. Initial high-sensitivity troponin was 110 000 ng/mL (to convert to micrograms per liter, multiply by 1). Results of cardiac point-of-care ultrasonography demonstrated a severely reduced left ventricular ejection fraction of 40%, with hypokinesis of the anterolateral and posterior walls. Emergent cardiac catheterization revealed spontaneous coronary artery dissection (SCAD) of the left main coronary artery (Figure 1andVideo). Angiographic image of left main spontaneous coronary artery dissection (A) and intravascular ultrasonography image of left main spontaneous coronary artery dissection (B). What Would You Do Next?",Percutaneous coronary intervention,hard
"A man in his 60s presented to our clinic with a 5-year history of diffuse erythematous, edematous annular plaques (Figure 1); low-grade fevers; and mild leukopenia. The result of a skin biopsy performed 4 years prior was interpreted as subacute cutaneous lupus erythematosus (SCLE). Treatments included hydroxychloroquine, 400 mg/d, for 4 years; mycophenolate mofetil, 1000 mg/d, for 6 months; and oral prednisone tapers, starting at 40 mg/d. Of these, only prednisone appeared to elicit a response. Review of symptoms was negative for fatigue, weight loss, cough, shortness of breath, joint pain, ocular symptoms, mucosal ulcerations, history of blood clots, photosensitivity, pleurisy, urine changes, and diarrhea. Medical history included hypertension, for which he took losartan, and seasonal allergies, for which he used fexofenadine and fluticasone. Laboratory evaluation revealed mild neutropenia and lymphopenia with normal hemoglobin and platelet counts. Antinuclear antibody screening results were negative. The results of a comprehensive metabolic panel, C3, C4, serum protein electrophoresis, serum free light chains, methylmalonic acid, homocysteine, ferritin, copper, zinc, haptoglobin, HIV, hepatitis B and C serologic tests, and rapid plasma reagin were negative. Lactate dehydrogenase was mildly elevated. Erythrocyte sedimentation rate was elevated at 41 mm/h. Routine cancer screening was up to date. Therapeutic trials of dapsone and dapsone in combination with colchicine were not effective. What Is Your Diagnosis?",VEXAS syndrome,medium
"A Chinese woman in her late 20s presented with a 20-year history of progressive skin laxity. In early childhood, she had developed asymptomatic yellowish coalesced papules confined to flexural areas. Subsequently, severe skin sagging occurred on her abdomen with loss of elasticity, then spread extensively with developmental growth. The results of a physical examination showed thick and leathery skinfolds on the neck, axillae, inguinal regions, abdomen, and limbs (Figure, A), with yellowish papules scattered on the dorsal neck. The patient had no extracutaneous involvement and was born to healthy nonconsanguineous parents. However, her younger sister had developed the same skin symptoms. Coagulation-related tests indicated a low clotting activity of factor X (52.2%; reference range, 77%-131%) and a prolonged prothrombin time (12.8 seconds; reference range, 10.4-12.6 seconds). The results of other laboratory investigations were unremarkable. Echocardiographic and fundoscopic examination results were normal. A skin biopsy specimen was obtained from her neck for histopathologic examination (Figure, B). A, Clinical image of the neck, axillae, and abdomen. Severe skin laxity with deep cutaneous folds on the cervical, axillary, and abdominal regions. B, Skin biopsy specimen taken from the neck shows excessive calcification of elastic fiber fragments scattered in the reticular dermis (von Kossa). What Is Your Diagnosis?",Pseudoxanthoma elasticum–like disorder with coagulation deficiency,medium
"A previously healthy 7-year-old boy was admitted to the hospital with 1 week of temperatures up to 40.2 °C (104.4 °F), productive cough, and lethargy, which did not improve after 3 days of oral cefuroxime. He lived in rural China and had close contact with dogs, cattle, and sheep. His blood pressure was 93/60 mm Hg; heart rate, 100/min; respiratory rate, 26/min; and oxygen saturation, 94% on room air. Lung auscultation revealed absent breath sounds on the right hemithorax. His abdomen was soft and nontender, without hepatosplenomegaly. His white blood cell count was 8000/μL, with 25.8% eosinophils (reference range, 0%-9%). C-reactive protein level and results from tuberculin skin test, interferon-γ release assay, nucleic acid amplification testing for tuberculosis, acid-fast bacilli smear microscopy, and HIV antibody testing were normal. A thoracoabdominal computed tomography (CT) scan showed a ruptured 10 × 9 × 5–cm right upper lobe pulmonary cyst compressing the right main bronchus and 3 liver cysts (Figure 1). Left, Chest computed tomography (CT) scan (transverse view) showing a giant cystic mass in the right upper lobe of the lung with rupture and compression of the right main bronchus. Right, Abdominal CT scan (coronal view) showing 3 round water-density cysts in the right anterior lobe, right posterior lobe, and left lateral lobe of the liver. What Would You Do Next?",Obtain serologic testing for E granulosus antibodies,medium
"A previously healthy individual in his 20s presented to the dermatology clinic for evaluation of annular skin lesions that appeared first on his right ankle and then on other areas of his body over a 3-month period. He reported numbness and paresthesia in the areas of affected skin and an inability to fully extend his fingers. The patient did not take any prescription medications or herbal supplements and had immigrated to the US from Samoa 4 years prior. Physical examination revealed multiple tattoos and annular erythematous plaques on his face, chest (Figure, left panel), back, arms, and legs. The patient had bilateral palpable thickened auricular and ulnar nerves, claw-hand deformity (Figure, right panel), foot drop bilaterally, and decreased sensation to temperature over the areas of skin plaque. Results of testing for rapid plasma reagin, antinuclear antibodies, and rheumatoid factor were negative. Examination of punch biopsy samples from 2 plaques on his back revealed granulomatous periadnexal and perivascular dermatitis with diffuse granulomatous infiltrate and foamy histiocytes. Findings on acid-fast bacilli stains and mycobacterial polymerase chain reaction (PCR) testing were negative. Repeat biopsy of a skin plaque revealed no fungal organisms, andMycobacterium lepraewas not identified on Fite Faraco stain. Trunk cutaneous lesions (left) and bilateral hand contractures (right) at initial presentation. What Would You Do Next?",Send skin biopsy specimen to the US National Hansen’s Disease Program for PCR testing,medium
"A 60-year-old Black patient presented to the emergency department with a 2-month history of chest pain and shortness of breath with exertion, 3 months of toe numbness, and unintended weight loss of 8 kg over 6 months. The patient also had a history of lumbar spinal stenosis. On presentation, blood pressure was 104/73 mm Hg; heart rate, 91/min; respiratory rate, 16/min; and oxygen saturation, 96% on room air. Physical examination revealed edema to the mid-calf bilaterally, hypoesthesia below the knees, and ankle plantar flexion strength of 3 of 5 based on the Medical Research Council Scale for muscle strength. Laboratory testing revealed a high-sensitivity troponin level of 52 ng/L (reference, <34 ng/L); brain-type natriuretic peptide, 112 pmol/L (reference, <30 pmol/L); aspartate aminotransferase, 51 U/L (0.85 μkat/L) (reference, 0-35 U/L [0-0.58 μkat/L]); and alanine aminotransferase, 76 U/L (1.27 μkat/L) (reference, 0-45 U/L [0-0.75 μkat/L]). A chest radiograph showed cardiomegaly without pulmonary vascular redistribution or pulmonary edema. An electrocardiogram revealed normal sinus rhythm, left anterior fascicular block, and down-sloping anterolateral ST segments. The patient was admitted to the hospital, where electromyography results included reduced amplitude of peroneal nerve action potentials, consistent with axonal sensorimotor polyneuropathy of the bilateral lower extremities. Coronary angiography showed no coronary atherosclerosis, and cardiac magnetic resonance imaging demonstrated asymmetric left ventricular hypertrophy. Results of serum protein electrophoresis (SPEP) and serum free light chain testing were normal. A bone scintigraphy scan using technetium Tc 99m–labeled hydroxymethylene diphosphonate demonstrated increased cardiac uptake (Figure). Anterior (left) and posterior (right) bone scintigraphy scan of the patient. What Would You Do Next?",Order genetic testing,hard
"A 64-year-old woman presented with diminution of vision, progressive redness, and dull aching pain in the right eye for 8 months. There was no history of trauma. Her medical history was unremarkable. On examination, her best-corrected visual acuity measured 20/60 OD and  20/25 OS. The anterior segment showed dilated corkscrew conjunctival vessels (Figure 1), a shallow anterior chamber in the right eye, and nuclear cataract in both eyes. Pupillary reaction and color vision were normal in both eyes. Intraocular pressure was 16 mm Hg by Goldman applanation tonometry in both eyes. Gonioscopy revealed an occludable angle in the right eye without evidence of blood in the Schlemm canal. Both eyes’ extraocular movements were full and free in all directions of gaze. Dilated fundus examination showed a clear vitreous cavity in the right eye, 360° serous choroidal detachment partly obscuring the optic disc nasally (Figure 1), and the fundus in the left eye was unremarkable. Slitlamp photograph of the right eye showing corkscrew episcleral vessels (A) and ultra-wide field imaging of the right eye showing a large choroidal detachment nasally and shallow detachment all around (B). What Would You Do Next?",Magnetic resonance imaging with magnetic resonance angiography or digital subtraction angiography,easy
"A 53-year-old woman presenting with a unilateral mild cortical and nuclear cataract associated with 20/32 visual acuity in her left eye was planning to undergo phacoemulsification. A few days before surgery, she noticed a sudden decrease in her left visual acuity measured at 20/80. Her eye specialist then observed a reverse pupillary block in her left eye and referred the patient to our department. At presentation, no other remarkable medical history was recorded and no precipitating factors identified. Slitlamp examination showed a unilateral deepening of the anterior chamber associated with signs of anterior uveitis (ie, keratic precipitates and severe aqueous flare, 3+) and posterior synechiae between the iris and the lens. In addition, fundus examination revealed an inferior retinal detachment without any associated visible tear. Intraocular pressure was 15 mm Hg in the right eye and 9 mm Hg in the left eye. Anterior segment optical coherence tomography images and fundus photographs of both eyes are shown inFigure 1. While anterior segment optical coherence tomography (AS-OCT) and fundus imaging were unremarkable for the right eye, the left anterior chamber was substantially deepened with a backbowing of the iris and an apposition to the lens, leading to a disappearance of the posterior chamber on AS-OCT scan. An inferior retinal detachment without any associated visible tear was present in the left eye (white arrowheads). What Would You Do Next?",Schedule combined phacoemulsification-vitrectomy surgery,medium
"A 63-year-old man with no ocular history and a history of stage 3 cutaneous melanoma of the scalp and chronic lymphocytic leukemia was referred for kaleidoscope vision. He received nivolumab (anti–programmed cell death 1 checkpoint inhibitor) 9 months prior, obinutuzumab (B-cell lymphoma 2 inhibitor) 3 months later, and 5-mg oral prednisone daily. On presentation, nivolumab and obinutuzumab treatment was complete. His visual acuity was 20/125 OD and 20/50 OS. Ophthalmoscopy revealed bilateral panuveitis with diffuse pigmentary abnormalities. Fluorescein angiography showed diffuse retinal pigment epithelium loss and late staining of the retinal lesions. He received 60 mg of oral prednisone daily for 2 weeks with a planned 10-week taper. However, prednisone was discontinued due to positive Lyme disease exposure 6 weeks later. At this time, the active anterior and vitreous cells had resolved. However, 2 weeks later, visual acuity decreased to count fingers in his right eye and hand motions in the left eye. The anterior and vitreous chambers had grade +0.5 pigmented cells. The ophthalmoscopic examination showed a leopard-spot pattern (Figure 1), and optical coherence tomography showed substantial retinal pigment epithelium and outer retinal layer loss. Repeat testing forTreponema pallidum, Lyme disease, and HIV was negative. Results of magnetic resonance imaging of the brain and orbit were negative for leukemic infiltration. A, Ultra-widefield fundus photograph of the right eye showing pigmentary abnormalities (arrowhead) within and peripheral to the macula. This finding was similar in both eyes. A red-free image is depicted in the bottom left corner of the panel. B, Ultra-widefield fundus autofluorescence image of the right eye showing hypoautofluorescent (pink arrowhead) and hyperautofluorescent patches (blue arrowhead) within and peripheral to the macula. This finding was similar in both eyes. What Would You Do Next?",Intravitreal steroid injection,hard
"A 71-year-old woman presented to the otolaryngology clinic for evaluation of a parapharyngeal space (PPS) mass that was incidentally found on magnetic resonance imaging (MRI) of the face. The patient experienced left jaw tightness, aural fullness, and facial discomfort. The MRI results demonstrated a well-circumscribed, ovoid mass in the left prestyloid PPS that measured 12 × 15 × 22 mm. The lesion was isointense on T1-weighted imaging, was hyperintense on T2-weighted imaging, and demonstrated heterogeneous enhancement following gadolinium administration (Figure 1). A computed tomography–guided fine-needle aspiration was performed, which demonstrated blood, fibrin, and rare mesenchymal cells. Given her ongoing symptoms, the patient requested surgical resection. The patient underwent transoral robotic surgery for resection of her PPS mass to achieve definitive diagnosis and treatment. Histopathologic evaluation demonstrated a well-circumscribed, 12-mm mass. Magnetic resonance imaging of the face. A, Coronal section from a T2-weighted image demonstrates a hyperintense mass in the left parapharyngeal space (PPS). B, Axial section from a postcontrast T1-weighted image shows a heterogeneously enhancing mass in the prestyloid PPS. What Is Your Diagnosis?",Venous malformation,easy
"A 47-year-old woman was seen with left-sided facial weakness and swelling for 2 months. She was diagnosed as having recurrent high-grade serous cystadenocarcinoma of the ovary and developed these symptoms after cycle 4 of chemotherapy. She was receiving oral antidiabetic agents, and her blood glucose level was 110 mg/dL (to convert to millimoles per liter, multiply by 0.0555). Physical examination findings were consistent with left lower-motor-neuron type of facial nerve palsy. She was conscious and well oriented, with no other relevant clinical signs or focal neurological deficits. There was no history of prior COVID-19 infection. Magnetic resonance imaging (MRI) of the brain was requested, with clinical suspicion of metastasis in view of mildly elevated CA125 levels. The results of MRI of the brain did not reveal any neuroparenchymal or meningeal lesions. However, both maxillary sinuses showed mucosal thickening, which was intermediate to hypointense on T2-weighted imaging and hypointense on T1-weighted imaging with postcontrast enhancement. Computed tomography sections confirmed bony destruction with foci of remodeling involving the walls of the maxillary sinuses (Figure 1). A, Axial T2-weighted magnetic resonance imaging (MRI) shows T2 heterogeneous soft tissue in the maxillary sinus with perimaxillary inflammatory changes (yellow arrowhead). B, In this axial contrast-enhanced, T1-weighted (T1 + C) image, linear enhancement corresponds to expected course of buccal branch of facial nerve (VII) (white arrow). The enhancement extends medially and involves the mandibular branch of the trigeminal nerve (V3). P indicates parotid gland, and the yellow dashed line outlines the edge of the parotid gland. B and C, The white arrow shows the intercommunication between the auriculotemporal branch of V3 and the intraparotid facial nerve (green marker). C, Additionally, involvement of enhanced thickening is seen up to the left foramen ovale, without involvement of the trigeminal ganglion. D, In oblique sagittal images, the thick enhancing branches of the facial nerves within the left parotid gland are seen (orange arrows). The enhancement of facial nerve extends up to the stylomastoid foramen (SMF) (blue arrow), and there is subtle enhancement along its mastoid segments (MSs). Iodinated contrast medium was used. Fat stranding and enhancing soft tissue was seen in the retroantral spaces bilaterally as well as the pterygopalatine fossae. Anteriorly, enhancing soft tissue was present in premaxillary space, from which contiguous linear enhancement was seen extending to left parotid gland—along the expected course of buccal branch of left facial nerve. The entire extracranial left facial nerve proximal to this showed diffuse enhancement and thickening. Associated stylomastoid foramen widening was present with subtle enhancement along its mastoid and tympanic segments. These features were compatible with perineural extension of disease (Figure 1A and B). Additionally, there was involvement of the mandibular branch of the trigeminal nerve via intercommunication between the auriculotemporal branch of trigeminal nerve and the intraparotid facial nerve. Diffuse enhancement and thickening was seen up to the left foramen ovale, without involvement of the trigeminal ganglion (Figure 1C and D). What Is Your Diagnosis?",Invasive fungal sinusitis (mucormycosis) with perineural spread,hard
"A 46-year-old man presented for an evaluation of a lesion on the dorsal tongue. The patient was asymptomatic and unaware of the lesion prior to it being discovered by his dentist. He underwent incisional biopsy at another institution and presented for a second opinion on the diagnosis. Overall, he was in good health with no underlying systemic diseases. Results of the most recent serologic analysis and urinalysis were also reportedly within normal limits. The extraoral examination was unremarkable, with no skin lesions, asymmetry, redness, swelling, or lymphadenopathy observed. The intraoral examination revealed an erythematous denuded area of the midline posterior dorsal tongue, with a central nodular component (Figure 1A). The nodule was firm to palpation and nontender. The remaining oral soft tissue was unremarkable. Because a biopsy specimen was already obtained, blank slides were requested from the aforementioned institution, and staining was performed in house. A, Clinical examination revealed a pink nodule in the midline dorsal tongue with surrounding atrophic papillae. B, Hematoxylin-eosin stain of the biopsy specimen showed acellular, amorphous, and eosinophilic material arranged in lobules. Histologic evaluation revealed a piece of soft tissue with normal overlying epithelium. In the connective tissue, acellular, amorphous, and eosinophilic material arranged in lobules was noted (Figure 1B). What Is Your Diagnosis?",Localized amyloidosis (amyloidoma),medium
"A man in his 80s presented to the emergency department with a 4-week history of progressive weakness and fatigue, with associated development of purple bruiselike lesions on his head. He denied any history of trauma, falls, or occlusive headgear use. His medical history was significant for atrial fibrillation, receiving anticoagulation medication, and heart failure. On physical examination, numerous nontender violaceous plaques were seen on the forehead and scalp of the patient (Figure, A). On full skin examination, nonspecific skin-colored plaques were noted on the chest, and a 1.8 × 2.5-cm erythematous plaque was noted on the left lower back. There was no appreciable lymphadenopathy or hepatosplenomegaly. Peripheral blood test results revealed a hemoglobin level of 9.1 g/dL, a platelet count of 68 × 103/μL, a white blood cell count of 2800/μL, and an absolute neutrophil count of 1.0/μL. Lactate dehydrogenase level was 202 U/L. (To convert hemoglobin to g/L, multiply by 10.0; platelets to ×109/L, by 1; white blood cell and neutrophil counts to ×109/L, by 0.001; and lactate dehydrogenase to μkat/L, by 0.0167.) A 4-mm punch biopsy was performed on the erythematous plaque on the left lower back (Figure, B and C). A, Violaceous plaques on the scalp. B, Punch biopsy showing a grenz zone and infiltrate extending into deeper dermis (hematoxylin-eosin). C, Punch biopsy showing cellular infiltrate of basophilic blastoid cells (hematoxylin-eosin). D, Punch biopsy showing cellular infiltrate with CD123 staining. What Is Your Diagnosis?",Blastic plasmacytoid dendritic cell neoplasm,medium
"A man in his late 60s was referred to the dermatologic clinic with a 10-day history of fever up to 38.5 °C and tender lesions on the neck and trunk. In the previous month, he had received the first cycle of a chemotherapeutic regimen of ixazomib, lenalidomide, and dexamethasone to treat a recurrence of IgG-κ multiple myeloma with a 10-year history. Physical examination showed annular erythematous plaques of up to 2 cm in diameter, with violaceous and crusted centers on the neck and trunk. On the right chest, an annular erythematous lesion with 2 zones of color—a central area of purpura and an outer erythematous and edematous ring—was present (Figure, A). Laboratory investigations found pancytopenia: a white blood cell count of 2.3 × 103/μL (reference range, 3.5-9.8 × 103/μL), hemoglobin levels of 12.1 g/dL (reference range, 13.5-17.6 g/dL), platelet count of 29 × 103/μL (reference range, 130-400 × 103μL), and elevated serum C-reactive protein levels of 3.31 mg/dL (reference range, <0.30 mg/dL). Blood culture results were negative. Granulocyte colony-stimulating factor analogs had not been prescribed to the patient. Skin biopsy from a lesion on the left chest was performed for histopathological and immunohistochemical analyses (Figure, B-D). A, Clinical image of annular erythematous plaques on the chest. B, A histopathologic image revealing inflammatory infiltrate of predominantly mononuclear cells in the superficial and mid dermis (hematoxylin-eosin stain). C, The predominantly infiltrated cells showing large, elongated, vesicular nuclei, single inconspicuous nucleoli, and scant, slightly eosinophilic cytoplasm (hematoxylin-eosin stain). D, An immunohistochemical image showing myeloperoxidase-positive cells. What Is Your Diagnosis?",Histiocytoid Sweet syndrome,hard
"A 6-year child presented with headache for 1 month and seizures followed by altered consciousness for 1 day. He had new-onset daily occipital headache for 1 month of mild to moderate severity and pulsating character. Occasionally, the headache became severe accompanied by vomiting, photophobia, and phonophobia. The child had 4 to 5 episodes of generalized tonic-clonic seizures 1 day prior to admission. He remained unconscious for several hours and spontaneously regained consciousness over 24 hours. There was no history of fever, weight loss, limb weakness, vision impairment, or any strokelike illness. His birth and developmental history were unremarkable. On examination, his pulse rate was 80 beats per minute (regular) with all peripheral pulses palpable without any radio-femoral delay. His blood pressure was 170/110 mm Hg with less than 10 mm Hg difference of systolic and diastolic blood pressure in other limbs. Abdominal examination revealed abdominal bruit. Fundus examination revealed papilledema with changes of hypertensive retinopathy. He was not oriented to place and time. The cranial nerves, motor, sensory, and autonomic system examination were unremarkable. Meningeal signs were absent. There was no evidence of neurocutaneous markers. His cranial magnetic resonance imaging revealed bilateral white matter hyperintensity that was more marked in the bilateral parieto-occipital region. Ultrasound of the abdomen revealed a small right kidney and renal Doppler was suggestive of right renal-artery stenosis. His computed tomography angiography revealed short segment (3 cm) and short circumferential thickening of the descending aorta with right renal artery narrowing (Figure 1). His repeat cranial magnetic resonance imaging showed significant reduction in the white matter hyperintensities. Maximum-intensity projection computed tomography (CT) angiography abdomen axial section (thickness 7 mm) (A) showing narrowing of whole length of right renal artery and thickened abdominal aortal wall (black arrowhead) and coronal section (B) showing small asymmetrical right kidney and compensatory enlarged left kidney. What Is Your Diagnosis?",Takayasu arteritis,hard
"A 70-year-old man presented to the dermatology clinic for evaluation of a pruritic exanthem that began on his scalp and face and spread across most of his body over a 2-month period. The patient had no fever, night sweats, fatigue, recent unintentional weight loss, shortness of breath, chest pain, nausea, vomiting, or diarrhea. He reported no new prescription medications, over-the-counter drugs, or herbal supplements prior to the onset of the exanthem. He had no history of psoriasis, atopic dermatitis, or other skin disorder, and no recent viral or bacterial infection. On presentation, his temperature was 37.1 °C (98.7 °F); blood pressure, 128/86 mm Hg; heart rate, 110/min; and respiratory rate, 30/min. Physical examination revealed confluent salmon-colored plaques composed of folliculocentric scaly papules across his body with several patches of unaffected skin on his trunk. The patient had waxy, exfoliative scale on the volar aspect of his hands and feet and thickened, onycholytic nails. Severe ectropion prevented complete eyelid closure (Figure). He was referred to the emergency department, where laboratory testing revealed a normal complete blood cell count and normal lactate dehydrogenase level. The patient was admitted to the hospital and was treated with intravenous fluids and daily wet-wrap therapy with topical triamcinolone ointment (0.1%) applied to his trunk, arms, and legs, followed by a layer of warm, damp gauze and dry, cotton pajamas. Clinical examination at the time of presentation revealed generalized and coalescing salmon-colored plaques with “islands of sparing” on the abdomen (far left); waxy, exfoliative scale on the palms (center left) and soles (center right); and ectropion (far right). What Would You Do Next?",Obtain skin biopsy with T-cell clonality studies,hard
"An 80-year-old man presented to the emergency department with a 5-day history of fever and right shoulder pain. His temperature was 37.9 °C (100.2 °F); heart rate, 74/min; and blood pressure, 90/49 mm Hg. He had tenderness to palpation and decreased range of motion of his right shoulder. Laboratory testing showed a white blood cell count of 9.6 ×  109/L (reference, 4.0-9.0 × 109/L); C-reactive protein level, 35.6 mg/dL (reference, <0.3 mg/dL), and creatine kinase level, 1036 U/L (17.30 μkat/L) (reference, 60-270 U/L [1.00-4.51 μkat/L]). Magnetic resonance imaging revealed an effusion and synovial thickening with enhancement in the right shoulder joint and inflammation in the right subscapularis muscle. Gram stain of the synovial fluid revealed gram-positive cocci in clusters. Intravenous cefazolin therapy was initiated, and he underwent right shoulder joint arthroscopic irrigation, synovectomy, and surgical drainage for subscapularis pyomyositis. Blood and synovial fluid cultures grew methicillin-susceptibleStaphylococcus aureus, and intravenous cefazolin was continued. One week after hospitalization, the patient developed asymptomatic black discoloration of the dorsal surface of his tongue (Figure). He reported no prior lingual discoloration and did not smoke cigarettes, use chewing tobacco or illicit drugs, or drink alcohol. Elongated filiform papillae and black discoloration of patient’s tongue. What Would You Do Next?",Provide reassurance and prescribe oral care,medium
"A 7-year-old girl was referred to the otolaryngology clinic by her pediatrician for a left pharyngeal lesion. Her parents noted the lesion 18 months prior. It remained stable in size and was asymptomatic. She denied sore throat, dysphagia, and dyspnea. She was otherwise healthy with no history of recurrent pharyngitis. On examination, her vital signs were within normal limits. She was comfortable with no noted stridor and tolerated her oral secretions. Her oropharyngeal examination was notable for size 2+ palatine tonsils without exudate and a white mass on the posterior tonsillar pillar. She did not tolerate palpation of the lesion. There was no palpable cervical adenopathy, and her lungs were clear to auscultation. No laboratory work or imaging were performed. The patient was taken to the operating room for an excisional biopsy. There, a more thorough gross examination of the lesion was notable for a pedunculated, white rubbery mass arising from the left posterior tonsillar pillar with a narrow mucosal stalk (Figure, A). A, Pedunculated, white rubbery mass arising from the left posterior tonsillar pillar with a narrow mucosal stalk. B and C, A keratinizing squamous epithelium withActinomycescolonization was found overlying pilosebaceous units including hair follicles, arrector pili muscles, and sebaceous glands (hematoxylin-eosin stains). Gross examination revealed a 2.2 × 1.1 × 0.7-cm, pink-tan to purple, rubbery lesion. Histologic examination demonstrated both ectodermal and mesodermal components. A keratinizing squamous epithelium withActinomycescolonization was found overlying pilosebaceous units including hair follicles, arrector pili muscles, and sebaceous glands (Figure, B and C). The core of the lesion comprised adipose and fibrous tissue. The stalk was covered with acanthotic squamous epithelium, and the base contained embedded salivary glands. What Is Your Diagnosis?",Hairy pharyngeal polyp,hard
"A 28-year-old woman presented to the emergency department with a 5-day history of bilateral blurry vision, eye redness, discharge, photophobia, and pain. She also reported rhinorrhea and lethargy. Her medical history included Leber congenital amaurosis treated with voretigene neparvovec (Luxturna; Spark Therapeutics) 8 years ago, and acute myeloid leukemia (AML) diagnosed 6 months prior to presentation treated with cytarabine and idarubicin. Her latest chemotherapy was 3 weeks before presentation, and a peripherally inserted central catheter (PICC) was removed 2 weeks ago. A complete blood cell count was ordered, revealing anemia, neutropenia, lymphocytopenia, and monocytopenia in the setting of recent chemotherapy. Blood cultures were drawn, and results were pending at the time of presentation. Her ophthalmic examination showed visual acuity of 20/800 OD and 20/400 OS, decreased from her baseline of 20/200 OU. Intraocular pressures were 37 mm Hg OD and 31 mm Hg OS. Slitlamp examination revealed chemosis, conjunctival hyperemia, and microcystic corneal edema bilaterally. There were more than 20 cells per high-power field of 1 mm × 1 mm beam, with fibrin bilaterally and 2.5-mm hypopyon in the right eye and 2.7-mm hypopyon in the left eye (Figure 1). Posterior segment examination was limited because of corneal edema and anterior inflammation, but there were no vitreous opacities on B-scan ultrasonography. A 2.5-mm pseudohypopyon in the right eye due to leukemic infiltrate. What Would You Do Next?",Obtain a sample of the hypopyon through anterior chamber paracentesis and inject intravitreal antibiotics,medium
"A 5-year-old girl was referred to ophthalmology care for evaluation of nystagmus. Her medical history included esophageal atresia, small bowel obstruction, mild cognitive impairment, low tone, and increased reflexes. Prenatal history was complicated by insulin-controlled gestational diabetes and polyhydramnios. Her ocular history was notable for eye movement abnormalities since birth. She had no family history of ocular disease. On examination, her visual acuity was 20/150 OU and did not improve with correction (right eye, −1.50 [2.00] × 180; left eye, −1.00 [1.50] × 180). Pupillary responses were normal. Alternating vertical and torsional nystagmus was noted (Figure 1). Specifically, 1 eye was noted to rise and intort while the other would fall and extort, followed by reversal of the vertical and torsional components in the opposite eye (Video). The optic nerve and foveal reflexes were normal in both eyes. Flash visual evoked potential (VEP) demonstrated strong ipsilateral activity of the occipital lobe. Results of a previously obtained brain magnetic resonance imaging (MRI) scan were reported as normal. What Would You Do Next?",Review brain MRI and order electroretinogram,easy
"A 75-year-old man with myelodysplastic syndrome (MDS) with isolated deletion 5q (del5q) presented with multiple nonhealing skin ulcers on the chest and upper extremities. Four years earlier, he started taking lenalidomide, 10 mg/d (28-day cycle), to treat worsening anemia; after 2 cycles of treatment, he became transfusion independent. Since then, he has remained stable with the same dose and schedule of lenalidomide without significant adverse effects. The presenting skin lesions developed 1 month before presentation and began as small pustules that rapidly transformed into painful ulcers. He was treated with valacyclovir for a presumed diagnosis of shingles, but the lesions did not improve. Because of suspected necrotizing fasciitis, he underwent incision and drainage of the lesions. Cultures from the surgical specimen grew methicillin-resistantStaphylococcus hemolyticus. However, the lesions continued to worsen despite vancomycin and additional debridement. Thus, he was transferred to our facility. Physical examination showed multiple cutaneous ulcers with gray undermined borders and red papules of varying depths involving the chest, back, and upper extremity; lesions were as large as 9 × 15 cm. A complete blood cell count showed a white blood cell count of 16.2 × 103/μL (to convert to 109/L, multiply by 1.0) with an absolute neutrophil count of 12.7 × 103/μL, hemoglobin level of 9.4 g/dL (to convert to g/L, multiply by 10.0), and platelet count of 262 × 103/μL with no circulating blasts. Results of additional laboratory studies, including blood culture and tests for herpes zoster virus (via polymerase chain reaction), antinuclear antibody, rheumatoid factor, and antineutrophil cytoplasmic antibody were all negative. Additionally, the patient also had hypertension and hypercholesterolemia for which he was taking lisinopril and simvastatin, respectively. Pathologic sampling from skin lesions demonstrated a dense dermal infiltrate with predominantly neutrophils along with reactive histiocytes, fibroblasts, and angioplasia (Figure, A). Immunohistochemical staining showed myeloperoxidase-positive neutrophils (Figure, B), histiocytic markers (CD43, CD63, CD168), and CD117-positive mast cells, but no immature myeloid precursors. Results of Grocott-Gomori methenamine silver staining were unremarkable. A, Hematoxylin-eosin staining shows polymorphonuclear neutrophils admixed with scattered histiocytes and vasculatures with a prominent endothelial lining. B, Immunohistochemical staining shows myeloperoxidase-positive neutrophils peripherally and in aggregates. What Is Your Diagnosis?",Pyoderma gangrenosum,hard
